Commodity,Edge,Flow,New Capacity,Switched,Changed Capacity
Methane,"('AF_LNG_exp', 'IE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'LT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'AS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'CN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'EL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'PT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'BE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'AF_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'JS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'LV_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'FI_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'IN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'EG_LNG_imp')",28762.64096205891,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'ES_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'IE_LNG_imp')",25402.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'HR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'AF_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'DE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'IN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'TR_LNG_imp')",3106.598932508001,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'EE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'AF_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'SA_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'IN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'AF_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'PT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'IT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'IN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'SA_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'JS_LNG_imp')",764279.938706647,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'BE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'PL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'HR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'NL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'ES_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'HR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'SA_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'FR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'LT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'AS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'EE_LNG_imp')",3613.770355847626,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'UK_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'UK_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'SA_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'NL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'TR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'EG_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'IE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'EE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'NL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'CN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'EL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'LT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'LV_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'AS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'NL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'FI_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'LT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'DE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'IN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'AS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'EL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'IT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'IT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'BE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'UK_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'PL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'PL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'EG_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'FI_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'LV_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'ES_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'EL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'IE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'FR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'SA_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'FR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'CN_LNG_imp')",299342.373114435,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'LV_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'PT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'FI_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'DE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'JS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'TR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'DE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'NL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'HR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'LT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'PT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'IT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'BE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'JS_LNG_imp')",525837.8320231684,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'AS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'HR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'ES_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'PT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'JS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'EE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'EL_LNG_imp')",73275.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'TR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'LV_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'FI_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'IE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'LT_LNG_imp')",36490.41771,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'CN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'DE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'AS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'AF_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'UK_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'LT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'IN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'EL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'EG_LNG_imp')",0.0,0.0,1.0,9999999.0
